product,type,subtype1,subtype2,measurement_unit,price_per_unit,bulk_density,price_per_ton,pickup_address,supplier_address,,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1400,"1,32","1060,61",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,1050,"1,32","795,45",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,1050,"1,3","807,69",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,650,"1,58","411,39",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,700,"1,59","440,25",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,200,"1,4","142,86",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
Отсев,,,0-20,куб,0,"1,45","0,00",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
Щебень,гранитный,,4-8,куб,1974,"1,41","1400,00",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-10,куб,1988,"1,42","1400,00",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"8-11,2",куб,1918,"1,37","1400,00",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
Отсев,,,0-4,куб,252,"1,4","180,00",Петронеруд,"60.577807, 29.079648",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1190,"1,4","850,00",Алхо-2,"61.313645, 29.737886",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,800,"1,35","592,59",Алхо-2,"61.313645, 29.737886",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,800,"1,35","592,59",Алхо-2,"61.313645, 29.737886",,,,,,,,,,,,,,,,,
ЩПС,,,0-20,куб,650,"1,6","406,25",Алхо-2,"61.313645, 29.737886",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,550,"1,6","343,75",Алхо-2,"61.313645, 29.737886",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,550,"1,6","343,75",Алхо-2,"61.313645, 29.737886",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,100,"1,4","71,43",Алхо-2,"61.313645, 29.737886",,,,,,,,,,,,,,,,,
